,index,주소,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수,승차승객합,하차승객합,lat,lng
113,376,서울특별시 관악구 중앙동,2796,3586,1310,2079,4106,5665,37.4841276,126.9497523
114,377,서울특별시 관악구 청룡동,333,1243,212,815,545,2058,37.4791001,126.9416142
115,378,서울특별시 관악구 청림동,782,7219,391,4610,1173,11829,37.4917938,126.9586402
116,379,서울특별시 관악구 행운동,20276,9138,11968,5175,32244,14313,37.4805452,126.9571127
117,380,서울특별시 광진구 광장동,5457,7196,2456,3816,7913,11012,37.5478086,127.1052825
118,381,서울특별시 광진구 구의1동,4475,341,1940,114,6415,455,37.5424289,127.0857094
119,382,서울특별시 광진구 구의2동,1006,3103,512,1770,1518,4873,37.5473444,127.0900148
120,383,서울특별시 광진구 구의3동,1774,3647,685,2070,2459,5717,37.5389296,127.0976813
121,384,서울특별시 광진구 구의동,21680,17797,10530,9460,32210,27257,37.5466951,127.0914159
122,385,서울특별시 광진구 군자동,7986,14037,4825,9002,12811,23039,37.5530066,127.0736292
123,386,서울특별시 광진구 능동,8427,10218,5637,6270,14064,16488,37.5535934,127.0791827
124,387,서울특별시 광진구 자양1동,2668,8327,1129,4816,3797,13143,37.5344848,127.0822379
125,388,서울특별시 광진구 자양2동,228,872,54,342,282,1214,37.5287076,127.0846269
126,389,서울특별시 광진구 자양3동,1830,4247,706,2406,2536,6653,37.5337907,127.0729889
127,390,서울특별시 광진구 자양4동,860,1769,435,763,1295,2532,37.54015080000001,127.0650175
128,391,서울특별시 광진구 자양동,25884,25235,13993,13557,39877,38792,37.5324005,127.0715809
129,392,서울특별시 광진구 중곡1동,1498,2751,931,2082,2429,4833,37.5606486,127.0799594
130,393,서울특별시 광진구 중곡2동,635,1480,357,1083,992,2563,37.5602037,127.0815433
131,394,서울특별시 광진구 중곡3동,1923,3726,929,2434,2852,6160,37.5687026,127.0800152
132,395,서울특별시 광진구 중곡4동,2290,5639,881,2841,3171,8480,37.5653701,127.0874036
133,396,서울특별시 광진구 중곡동,6377,11093,2709,5992,9086,17085,37.5626197,127.0853672
134,397,서울특별시 광진구 화양동,17821,10260,11817,5802,29638,16062,37.5435547,127.073456
135,398,서울특별시 구로구 가리봉동,2714,4068,1444,2458,4158,6526,37.4823943,126.888251
136,399,서울특별시 구로구 개봉1동,23199,23445,12387,13880,35586,37325,37.5021516,126.8471508
137,400,서울특별시 구로구 개봉2동,6097,2199,3515,1279,9612,3478,37.4907641,126.8564832
138,401,서울특별시 구로구 개봉3동,557,3145,188,2126,745,5271,37.4859037,126.8537616
139,402,서울특별시 구로구 개봉동,4032,12575,2075,7832,6107,20407,37.4888722,126.8557494
140,403,서울특별시 구로구 고척1동,6832,6742,3020,4330,9852,11072,37.50037409999999,126.8627053
141,404,서울특별시 구로구 고척2동,2799,5862,1621,4377,4420,10239,37.5065122,126.8583166
142,405,서울특별시 구로구 고척동,4691,14847,1981,9503,6672,24350,37.5011414,126.8625002
143,406,서울특별시 구로구 구로1동,453,2915,249,2107,702,5022,37.4929862,126.8757043
144,407,서울특별시 구로구 구로2동,2616,5969,1704,3030,4320,8999,37.4912925,126.8834535
145,408,서울특별시 구로구 구로3동,31811,11346,20998,5910,52809,17256,37.4859324,126.8932857
146,409,서울특별시 구로구 구로4동,6494,1923,3275,936,9769,2859,37.4855983,126.8866194
147,410,서울특별시 구로구 구로5동,1238,1587,642,922,1880,2509,37.5000966,126.8893137
148,411,서울특별시 구로구 구로동,76445,56111,46721,29576,123166,85687,37.4951854,126.8820641
149,412,서울특별시 구로구 궁동,3283,5353,1525,3234,4808,8587,37.5003075,126.8289067
150,413,서울특별시 구로구 수궁동,631,3555,298,2261,929,5816,37.49390229999999,126.8314305
