,Unnamed: 0,Unnamed: 0.1,NODE_ID,ARS-ID,정류소명,좌표X,좌표Y,좌표
8392,8392,8392,119900238,20926,국사봉중학교,126.9435249516,37.4933820317,"국사봉중학교, 20, 양녕로20길, 상도4동, 성현동, 동작구, 서울, 08714, 대한민국"
8393,8393,8393,119900237,20927,신대방우성아파트앞,126.9102551848,37.4934091183,"101, 여의대방로, 신대방1동, 신길6동, 동작구, 서울, 07435, 대한민국"
8394,8394,8394,119900236,20928,교수아파트,126.9134086013,37.4963954784,"101동, 여의대방로, 신대방1동, 신길6동, 동작구, 서울, 07435, 대한민국"
8395,8395,8395,119900235,20929,보라매공원입구,126.9176475183,37.4966204731,"농심관, 여의대방로20길, 신대방2동, 동작구, 서울, 07062, 대한민국"
8396,8396,8396,119900234,20930,보라매공원,126.9183533997,37.4946370803,"보라매공원, 여의대방로20길, 신대방2동, 동작구, 서울, 07062, 대한민국"
8397,8397,8397,119900233,20931,삼일초등학교앞,126.9756098067,37.4881290043,"서울삼일초등학교, 사당로29다길, 사당3동, 동작구, 서울, 07001, 대한민국"
8398,8398,8398,119900232,20932,동작경희병원,126.9359509612,37.5029255048,"상도초등학교입구, 상도로, 상도3동, 동작구, 서울, 06937, 대한민국"
8399,8399,8399,119900231,20933,신동아상가,126.9514348233,37.508771104,"101, 매봉로, 노량진1동, 동작구, 서울, 06969, 대한민국"
8400,8400,8400,119900230,20934,현대아파트,126.9318737917,37.5122905185,"경희솔한의원, 등용로, 대방동, 동작구, 서울, 06947, 대한민국"
8401,8401,8401,119900297,20935,서달산약수터,126.9620065853,37.4998740923,"서달로2길, 흑석동, 비계, 동작구, 서울, 06982, 대한민국"
8402,8402,8402,119900229,20938,장성교회,126.9398850917,37.5073939965,"청화병원, 장승배기로, 노량진2동, 동작구, 서울, 06922, 대한민국"
8403,8403,8403,119900228,20939,숭의여중고교.공군항공안전단,126.9301555423,37.5080064578,"숭의여중고교, 공군항공안전단, 여의대방로44길, 대방동, 동작구, 서울, 06944, 대한민국"
8404,8404,8404,119900269,20940,대방동주공아파트,126.9288395395,37.5090197295,"대방동주공아파트, 여의대방로44길, 대방동, 동작구, 서울, 06944, 대한민국"
8405,8405,8405,119900227,20941,노량진신한은행,126.9442352522,37.5121553015,"대한해물찜탕24시, 만양로, 노량진1동, 동작구, 서울, 06926, 대한민국"
8406,8406,8406,119900226,20942,노량진한국법학교육원,126.9443038869,37.5123538851,"대한해물찜탕24시, 만양로, 노량진1동, 동작구, 서울, 06926, 대한민국"
8407,8407,8407,119900225,20943,7호선신대방삼거리역2번출구.국민은행,126.9286629011,37.4986458318,"24시코인노래방, 국사봉길, 상도3동, 동작구, 서울, 07042, 대한민국"
8408,8408,8408,119900224,20944,푸른초장교회,126.9300251189,37.4977059985,"푸른초장교회, 41, 국사봉길, 상도3동, 동작구, 서울, 07042, 대한민국"
8409,8409,8409,119900223,20945,백경세탁소,126.9306511862,37.4965705834,"국사봉8길, 상도3동, 보라매동, 동작구, 서울, 07043, 대한민국"
8410,8410,8410,119900222,20946,빙수골공영주차장,126.931948739,37.4952647854,"빙수골공영주차장, 국사봉길, 상도3동, 동작구, 서울, 07042, 대한민국"
8411,8411,8411,119900221,20947,선재유통,126.9327007536,37.4945178709,"국사봉길, 상도3동, 동작구, 서울, 07042, 대한민국"
8412,8412,8412,119900220,20948,영은교회,126.9339244212,37.4943603585,"101, 국사봉길, 상도3동, 동작구, 서울, 07042, 대한민국"
8413,8413,8413,119900219,20949,갑을명가아파트,126.934513979,37.4936191307,"101, 국사봉길, 상도3동, 동작구, 서울, 07042, 대한민국"
8414,8414,8414,119900218,20950,당곡중.고등학교,126.9354197083,37.4929555913,"203, 국사봉1길, 상도3동, 동작구, 서울, 07044, 대한민국"
8415,8415,8415,119900217,20951,사자암,126.9364134052,37.4937072365,"상도타워아파트, 성대로6가길, 상도3동, 동작구, 서울, 07044, 대한민국"
8416,8416,8416,119900216,20952,동작하이슈퍼,126.9367387899,37.494910819,"양녕로23길, 상도4동, 동작구, 서울, 07044, 대한민국"
8417,8417,8417,119900215,20953,제일성민교회,126.9374112975,37.4953330433,"양녕로23길, 상도4동, 동작구, 서울, 07044, 대한민국"
8418,8418,8418,119900214,20954,보문사,126.9386483549,37.4961176375,"성대로16길, 상도4동, 동작구, 서울, 07044, 대한민국"
