,dname,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수,승차승객합,하차승객합
227,외발산동,336,1136,56,583,392,1719
228,용강동,1403,1698,791,1120,2194,2818
229,용답동,11780,12091,7286,7674,19066,19765
230,용두동,12797,15490,6912,9995,19709,25485
231,용문동,1759,1839,662,877,2421,2716
232,용산가동,5667,7252,2668,3961,8335,11213
233,용산동가,6391,6024,2487,3270,8878,9294
234,용신동,13116,10845,8464,7335,21580,18180
235,우면동,1325,7070,409,3338,1734,10408
236,우이동,5816,7716,1947,4967,7763,12683
237,우장산동,5753,3479,2404,1543,8157,5022
238,운니동,10,4,0,2,10,6
239,원남동,1797,1246,521,608,2318,1854
240,원서동,22,314,4,273,26,587
241,원지동,147,145,17,65,164,210
242,원효로가,3089,3432,1728,1825,4817,5257
243,원효로동,5942,12726,3184,7452,9126,20178
244,월계동,21483,31173,13203,19718,34686,50891
245,월곡동,6585,7263,4129,4402,10714,11665
246,위례동,2382,5557,527,3518,2909,9075
247,율현동,267,1245,97,625,364,1870
248,은천동,2637,8679,1405,5719,4042,14398
249,을지로가,24798,9852,16028,5379,40826,15231
250,을지로동,887,685,659,442,1546,1127
251,응봉동,1587,8161,902,4958,2489,13119
252,응암동,29271,45615,16268,26111,45539,71726
253,의주로가,3962,3212,1791,1598,5753,4810
254,이문동,10042,17038,4807,10018,14849,27056
255,이촌동,10349,12072,4888,6434,15237,18506
256,이태원동,21709,19310,11016,10566,32725,29876
257,이화동,15641,9552,8885,5338,24526,14890
258,인사동,20908,4677,13840,2643,34748,7320
259,인수동,442,2361,146,1596,588,3957
260,인의동,279,301,111,93,390,394
261,인헌동,687,4817,308,3237,995,8054
262,일원동,8235,19569,4704,8281,12939,27850
263,일원본동,2157,4947,1528,1975,3685,6922
264,자곡동,611,315,245,178,856,493
265,자양동,31470,40450,16317,21884,47787,62334
266,잠실동,75948,44726,43638,21734,119586,66460
267,잠실본동,6611,10323,3506,5300,10117,15623
268,잠원동,16414,27972,9133,15887,25547,43859
269,장안동,31944,35256,16739,22317,48683,57573
270,장위동,14001,29287,8010,19429,22011,48716
271,장지동,11649,12992,3485,7910,15134,20902
272,장충동,5712,2516,1857,1288,7569,3804
273,장충동가,1050,783,419,464,1469,1247
274,재동,540,115,194,45,734,160
275,저동가,3480,2841,2113,1399,5593,4240
276,전농동,21368,32935,11022,18897,32390,51832
277,정동,5012,4500,3420,1615,8432,6115
278,정릉동,28641,62814,14407,41357,43048,104171
279,제기동,15155,14828,9373,9879,24528,24707
280,조원동,7272,14196,3509,8026,10781,22222
281,종로가,54487,16391,31881,10431,86368,26822
282,종로가동,15503,7441,7520,4309,23023,11750
283,종암동,16171,26381,9224,16541,25395,42922
284,중계동,38486,37753,16043,20266,54529,58019
285,중계본동,10030,4063,1944,2733,11974,6796
286,중곡동,12723,24689,5807,14432,18530,39121
287,중동,339,1620,145,976,484,2596
288,중림동,5404,8335,3565,4808,8969,13143
289,중앙동,2796,3586,1310,2079,4106,5665
290,중화동,18257,17585,10585,9876,28842,27461
291,증산동,5125,6115,2032,2881,7157,8996
292,진관동,20269,25964,11161,16539,31430,42503
293,창동,32978,46074,19014,28127,51992,74201
294,창신동,13375,13970,9393,11020,22768,24990
295,창전동,681,1557,292,818,973,2375
296,창천동,16572,4763,8927,2442,25499,7205
297,천연동,2907,6889,1661,4463,4568,11352
298,천왕동,2527,2249,1165,1350,3692,3599
299,천호동,25917,19670,15936,12146,41853,31816
300,청담동,20552,17300,9650,9265,30202,26565
301,청량리동,25661,17350,15282,11244,40943,28594
302,청룡동,333,1243,212,815,545,2058
303,청림동,782,7219,391,4610,1173,11829
304,청암동,47,2,25,2,72,4
305,청운동,31,187,8,96,39,283
306,청운효자동,3048,5261,874,2951,3922,8212
307,청파동,2564,5646,1127,2553,3691,8199
308,청파동가,1642,3652,925,1505,2567,5157
309,체부동,8835,2976,5071,1325,13906,4301
310,충무로가,3068,1622,1584,1035,4652,2657
311,충정로가,4262,2835,2798,1928,7060,4763
312,충현동,8567,11343,4524,4721,13091,16064
313,태평로가,2987,1312,1555,679,4542,1991
314,통인동,48,91,29,52,77,143
315,평창동,6378,11164,2045,6460,8423,17624
316,풍납동,8988,13281,6242,8691,15230,21972
317,필동,49,381,73,227,122,608
318,필동가,3631,1270,2696,842,6327,2112
319,하계동,20180,21487,10195,12028,30375,33515
320,하왕십리동,3535,4042,1993,2363,5528,6405
321,하월곡동,6597,8944,3211,5410,9808,14354
322,하중동,83,99,39,56,122,155
323,한강로가,15257,6435,9111,3532,24368,9967
324,한강로동,25101,14120,13660,6641,38761,20761
325,한남동,40299,32788,21623,19818,61922,52606
326,합정동,7475,5003,4791,2915,12266,7918
327,항동,976,4540,382,2811,1358,7351
328,행당동,28775,17038,15270,9034,44045,26072
329,행운동,20276,9138,11968,5175,32244,14313
330,현저동,0,12,0,13,0,25
331,혜화동,22222,11553,13228,7151,35450,18704
332,홍은동,17871,39670,8829,24314,26700,63984
333,홍익동,510,629,200,249,710,878
334,홍제동,25534,26362,12717,14560,38251,40922
335,홍지동,455,1385,74,565,529,1950
336,홍파동,7,24,1,3,8,27
337,화곡동,62098,78742,33766,45219,95864,123961
338,화곡본동,3330,6195,1895,3426,5225,9621
339,화양동,17821,10260,11817,5802,29638,16062
340,황학동,928,855,524,584,1452,1439
341,회기동,9820,9991,5397,5710,15217,15701
342,회현동,1075,3554,657,1182,1732,4736
343,회현동가,836,974,405,623,1241,1597
344,효제동,2773,1022,1414,597,4187,1619
345,효창동,3199,7373,1670,4081,4869,11454
346,후암동,3657,8385,1372,5003,5029,13388
347,휘경동,17225,18498,9263,10527,26488,29025
348,흑석동,18230,21711,10920,14292,29150,36003
349,흥인동,576,568,526,867,1102,1435
